iter	Passed	Remaining
0	147	147025
1	152	76211
2	158	52547
3	170	42339
4	175	34991
5	182	30216
6	188	26801
7	196	24405
8	204	22520
9	210	20792
10	215	19354
11	221	18272
12	227	17237
13	233	16447
14	244	16050
15	250	15392
16	255	14765
17	261	14252
18	270	13943
19	275	13500
20	281	13125
21	287	12780
22	294	12491
23	300	12201
24	306	11949
25	313	11732
26	318	11477
27	328	11416
28	341	11426
29	363	11766
30	372	11637
31	379	11477
32	386	11333
33	393	11181
34	400	11035
35	405	10857
36	412	10742
37	419	10614
38	424	10454
39	431	10346
40	439	10273
41	446	10179
42	451	10045
43	457	9938
44	463	9831
45	469	9731
46	475	9640
47	481	9543
48	486	9447
49	492	9360
50	499	9300
51	506	9229
52	511	9132
53	518	9090
54	525	9027
55	533	8992
56	538	8907
57	545	8852
58	550	8772
59	555	8702
60	563	8677
61	569	8618
62	575	8559
63	580	8492
64	587	8454
65	593	8400
66	598	8337
67	604	8289
68	610	8234
69	625	8314
70	630	8256
71	636	8207
72	642	8163
73	652	8160
74	657	8110
75	662	8059
76	669	8022
77	677	8006
78	686	7999
79	700	8052
80	708	8036
81	713	7989
82	719	7950
83	728	7945
84	733	7901
85	740	7873
86	746	7828
87	752	7800
88	764	7826
89	771	7805
90	777	7763
91	783	7731
92	798	7784
93	803	7740
94	808	7702
95	816	7686
96	825	7680
97	830	7644
98	836	7610
99	843	7587
100	848	7548
101	853	7510
102	859	7482
103	864	7451
104	871	7424
105	878	7408
106	889	7419
107	895	7397
108	904	7390
109	909	7355
110	915	7334
111	922	7314
112	927	7282
113	936	7281
114	943	7258
115	951	7252
116	957	7223
117	963	7200
118	972	7199
119	977	7170
120	983	7141
121	988	7115
122	994	7088
123	1004	7096
124	1009	7069
125	1015	7047
126	1020	7018
127	1026	6992
128	1032	6972
129	1042	6975
130	1047	6950
131	1054	6934
132	1063	6932
133	1068	6907
134	1081	6931
135	1087	6911
136	1093	6887
137	1098	6862
138	1103	6837
139	1110	6823
140	1117	6806
141	1123	6789
142	1128	6764
143	1135	6751
144	1140	6725
145	1145	6700
146	1152	6688
147	1157	6664
148	1165	6654
149	1171	6638
150	1180	6638
151	1185	6616
152	1194	6610
153	1200	6593
154	1208	6590
155	1235	6685
156	1257	6749
157	1262	6728
158	1272	6730
159	1280	6720
160	1290	6725
161	1298	6716
162	1305	6706
163	1311	6684
164	1317	6668
165	1325	6661
166	1332	6644
167	1337	6622
168	1342	6603
169	1350	6591
170	1356	6578
171	1366	6579
172	1372	6559
173	1379	6549
174	1385	6531
175	1397	6543
176	1402	6521
177	1408	6506
178	1415	6490
179	1422	6481
180	1427	6460
181	1433	6442
182	1439	6428
183	1444	6406
184	1450	6390
185	1455	6371
186	1464	6364
187	1469	6349
188	1476	6336
189	1482	6320
190	1487	6301
191	1498	6307
192	1505	6294
193	1512	6283
194	1517	6263
195	1523	6248
196	1530	6239
197	1536	6222
198	1543	6212
199	1548	6195
200	1554	6181
201	1560	6163
202	1573	6175
203	1579	6161
204	1585	6146
205	1590	6131
206	1595	6113
207	1605	6112
208	1611	6097
209	1617	6083
210	1623	6070
211	1629	6056
212	1634	6040
213	1639	6021
214	1646	6013
215	1652	5997
216	1659	5987
217	1665	5973
218	1672	5965
219	1678	5950
220	1684	5937
221	1692	5932
222	1699	5920
223	1707	5914
224	1715	5908
225	1720	5893
226	1726	5878
227	1732	5867
228	1740	5860
229	1747	5849
230	1754	5841
231	1761	5832
232	1775	5845
233	1782	5836
234	1789	5824
235	1795	5812
236	1802	5801
237	1808	5789
238	1813	5773
239	1821	5767
240	1828	5757
241	1833	5744
242	1839	5730
243	1849	5731
244	1857	5723
245	1863	5711
246	1868	5695
247	1874	5684
248	1882	5678
249	1888	5664
250	1895	5655
251	1900	5642
252	1908	5633
253	1913	5618
254	1918	5604
255	1926	5598
256	1931	5583
257	1937	5570
258	1942	5557
259	1955	5564
260	1963	5560
261	1970	5549
262	1975	5536
263	1983	5529
264	1990	5519
265	1996	5508
266	2001	5494
267	2008	5486
268	2016	5478
269	2024	5472
270	2029	5459
271	2035	5446
272	2044	5443
273	2049	5431
274	2059	5428
275	2064	5414
276	2070	5403
277	2076	5391
278	2081	5378
279	2087	5368
280	2094	5359
281	2101	5351
282	2107	5339
283	2126	5359
284	2135	5356
285	2141	5346
286	2151	5344
287	2165	5353
288	2170	5339
289	2178	5333
290	2183	5319
291	2188	5307
292	2197	5303
293	2206	5297
294	2214	5291
